#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.9832898E+00    -0.3061449E-04     0.1749577E-02     0.1749575E-01     0.4593983E-09     0.9035710E-09     0.1807142E-08
     0.2000000E+00     0.9832852E+00    -0.6122888E-04     0.3499149E-02     0.1749567E-01     0.4593983E-09     0.9035709E-09     0.1807142E-08
     0.3000000E+00     0.9832776E+00    -0.9184307E-04     0.5248710E-02     0.1749553E-01     0.4593981E-09     0.9035708E-09     0.1807142E-08
     0.4000000E+00     0.9832668E+00    -0.1224570E-03     0.6998254E-02     0.1749534E-01     0.4593980E-09     0.9035707E-09     0.1807141E-08
     0.5000000E+00     0.9832531E+00    -0.1530705E-03     0.8747777E-02     0.1749510E-01     0.4593978E-09     0.9035704E-09     0.1807141E-08
     0.6000000E+00     0.9832362E+00    -0.1836834E-03     0.1049727E-01     0.1749480E-01     0.4593975E-09     0.9035702E-09     0.1807140E-08
     0.7000000E+00     0.9832163E+00    -0.2142958E-03     0.1224673E-01     0.1749445E-01     0.4593972E-09     0.9035699E-09     0.1807140E-08
     0.8000000E+00     0.9831934E+00    -0.2449075E-03     0.1399616E-01     0.1749404E-01     0.4593968E-09     0.9035695E-09     0.1807139E-08
     0.9000000E+00     0.9831674E+00    -0.2755184E-03     0.1574554E-01     0.1749357E-01     0.4593964E-09     0.9035691E-09     0.1807138E-08
     0.1000000E+01     0.9831383E+00    -0.3061284E-03     0.1749487E-01     0.1749306E-01     0.4593960E-09     0.9035687E-09     0.1807137E-08
     0.1100000E+01     0.9831061E+00    -0.3367374E-03     0.1924415E-01     0.1749248E-01     0.4593955E-09     0.9035682E-09     0.1807136E-08
     0.1200000E+01     0.9830709E+00    -0.3673453E-03     0.2099337E-01     0.1749186E-01     0.4593949E-09     0.9035676E-09     0.1807135E-08
     0.1300000E+01     0.9830327E+00    -0.3979519E-03     0.2274252E-01     0.1749118E-01     0.4593944E-09     0.9035670E-09     0.1807134E-08
     0.1400000E+01     0.9829913E+00    -0.4285573E-03     0.2449160E-01     0.1749044E-01     0.4593937E-09     0.9035664E-09     0.1807133E-08
     0.1500000E+01     0.9829469E+00    -0.4591613E-03     0.2624061E-01     0.1748965E-01     0.4593930E-09     0.9035657E-09     0.1807131E-08
     0.1600000E+01     0.9828995E+00    -0.4897638E-03     0.2798953E-01     0.1748881E-01     0.4593923E-09     0.9035650E-09     0.1807130E-08
     0.1700000E+01     0.9828490E+00    -0.5203646E-03     0.2973837E-01     0.1748791E-01     0.4593915E-09     0.9035642E-09     0.1807128E-08
     0.1800000E+01     0.9827954E+00    -0.5509638E-03     0.3148711E-01     0.1748696E-01     0.4593907E-09     0.9035634E-09     0.1807127E-08
     0.1900000E+01     0.9827388E+00    -0.5815612E-03     0.3323576E-01     0.1748595E-01     0.4593898E-09     0.9035625E-09     0.1807125E-08
     0.2000000E+01     0.9826791E+00    -0.6121566E-03     0.3498430E-01     0.1748489E-01     0.4593889E-09     0.9035616E-09     0.1807123E-08
     0.2100000E+01     0.9826164E+00    -0.6427501E-03     0.3673273E-01     0.1748377E-01     0.4593879E-09     0.9035606E-09     0.1807121E-08
     0.2200000E+01     0.9825506E+00    -0.6733415E-03     0.3848105E-01     0.1748260E-01     0.4593869E-09     0.9035596E-09     0.1807119E-08
     0.2300000E+01     0.9824817E+00    -0.7039306E-03     0.4022925E-01     0.1748137E-01     0.4593858E-09     0.9035585E-09     0.1807117E-08
     0.2400000E+01     0.9824098E+00    -0.7345175E-03     0.4197732E-01     0.1748009E-01     0.4593847E-09     0.9035574E-09     0.1807115E-08
     0.2500000E+01     0.9823348E+00    -0.7651020E-03     0.4372527E-01     0.1747876E-01     0.4593835E-09     0.9035562E-09     0.1807112E-08
     0.2600000E+01     0.9822568E+00    -0.7956839E-03     0.4547307E-01     0.1747737E-01     0.4593823E-09     0.9035550E-09     0.1807110E-08
     0.2700000E+01     0.9821757E+00    -0.8262633E-03     0.4722074E-01     0.1747593E-01     0.4593811E-09     0.9035538E-09     0.1807108E-08
     0.2800000E+01     0.9820915E+00    -0.8568399E-03     0.4896826E-01     0.1747443E-01     0.4593798E-09     0.9035525E-09     0.1807105E-08
     0.2900000E+01     0.9820043E+00    -0.8874138E-03     0.5071562E-01     0.1747288E-01     0.4593784E-09     0.9035511E-09     0.1807102E-08
     0.3000000E+01     0.9819140E+00    -0.9179847E-03     0.5246283E-01     0.1747127E-01     0.4593770E-09     0.9035497E-09     0.1807099E-08
     0.3100000E+01     0.9818207E+00    -0.9485526E-03     0.5420988E-01     0.1746961E-01     0.4593756E-09     0.9035483E-09     0.1807097E-08
     0.3200000E+01     0.9817243E+00    -0.9791175E-03     0.5595675E-01     0.1746790E-01     0.4593741E-09     0.9035468E-09     0.1807094E-08
     0.3300000E+01     0.9816249E+00    -0.1009679E-02     0.5770345E-01     0.1746613E-01     0.4593726E-09     0.9035452E-09     0.1807090E-08
     0.3400000E+01     0.9815224E+00    -0.1040237E-02     0.5944998E-01     0.1746431E-01     0.4593710E-09     0.9035436E-09     0.1807087E-08
     0.3500000E+01     0.9814168E+00    -0.1070792E-02     0.6119631E-01     0.1746243E-01     0.4593693E-09     0.9035420E-09     0.1807084E-08
     0.3600000E+01     0.9813082E+00    -0.1101344E-02     0.6294246E-01     0.1746050E-01     0.4593677E-09     0.9035403E-09     0.1807081E-08
     0.3700000E+01     0.9811966E+00    -0.1131892E-02     0.6468841E-01     0.1745851E-01     0.4593659E-09     0.9035386E-09     0.1807077E-08
     0.3800000E+01     0.9810818E+00    -0.1162436E-02     0.6643416E-01     0.1745647E-01     0.4593641E-09     0.9035368E-09     0.1807074E-08
     0.3900000E+01     0.9809641E+00    -0.1192976E-02     0.6817970E-01     0.1745437E-01     0.4593623E-09     0.9035350E-09     0.1807070E-08
     0.4000000E+01     0.9808432E+00    -0.1223513E-02     0.6992503E-01     0.1745222E-01     0.4593605E-09     0.9035331E-09     0.1807066E-08
     0.4100000E+01     0.9807194E+00    -0.1254045E-02     0.7167015E-01     0.1745002E-01     0.4593585E-09     0.9035312E-09     0.1807062E-08
     0.4200000E+01     0.9805924E+00    -0.1284573E-02     0.7341504E-01     0.1744776E-01     0.4593566E-09     0.9035292E-09     0.1807058E-08
     0.4300000E+01     0.9804625E+00    -0.1315097E-02     0.7515970E-01     0.1744545E-01     0.4593546E-09     0.9035272E-09     0.1807054E-08
     0.4400000E+01     0.9803294E+00    -0.1345617E-02     0.7690412E-01     0.1744308E-01     0.4593525E-09     0.9035252E-09     0.1807050E-08
     0.4500000E+01     0.9801933E+00    -0.1376133E-02     0.7864831E-01     0.1744066E-01     0.4593504E-09     0.9035231E-09     0.1807046E-08
     0.4600000E+01     0.9800542E+00    -0.1406644E-02     0.8039225E-01     0.1743818E-01     0.4593482E-09     0.9035209E-09     0.1807042E-08
     0.4700000E+01     0.9799120E+00    -0.1437150E-02     0.8213595E-01     0.1743565E-01     0.4593460E-09     0.9035187E-09     0.1807037E-08
     0.4800000E+01     0.9797668E+00    -0.1467652E-02     0.8387938E-01     0.1743307E-01     0.4593438E-09     0.9035165E-09     0.1807033E-08
     0.4900000E+01     0.9796185E+00    -0.1498148E-02     0.8562256E-01     0.1743043E-01     0.4593415E-09     0.9035142E-09     0.1807028E-08
     0.5000000E+01     0.9794671E+00    -0.1528640E-02     0.8736547E-01     0.1742774E-01     0.4593391E-09     0.9035118E-09     0.1807024E-08
     0.5100000E+01     0.9793127E+00    -0.1559127E-02     0.8910810E-01     0.1742499E-01     0.4593368E-09     0.9035094E-09     0.1807019E-08
     0.5200000E+01     0.9791553E+00    -0.1589609E-02     0.9085046E-01     0.1742219E-01     0.4593343E-09     0.9035070E-09     0.1807014E-08
     0.5300000E+01     0.9789948E+00    -0.1620086E-02     0.9259254E-01     0.1741934E-01     0.4593318E-09     0.9035045E-09     0.1807009E-08
     0.5400000E+01     0.9788313E+00    -0.1650557E-02     0.9433433E-01     0.1741643E-01     0.4593293E-09     0.9035020E-09     0.1807004E-08
     0.5500000E+01     0.9786647E+00    -0.1681023E-02     0.9607583E-01     0.1741346E-01     0.4593267E-09     0.9034994E-09     0.1806999E-08
     0.5600000E+01     0.9784951E+00    -0.1711483E-02     0.9781702E-01     0.1741045E-01     0.4593241E-09     0.9034968E-09     0.1806994E-08
     0.5700000E+01     0.9783224E+00    -0.1741938E-02     0.9955791E-01     0.1740738E-01     0.4593214E-09     0.9034941E-09     0.1806988E-08
     0.5800000E+01     0.9781467E+00    -0.1772387E-02     0.1012985E+00     0.1740425E-01     0.4593187E-09     0.9034914E-09     0.1806983E-08
     0.5900000E+01     0.9779679E+00    -0.1802831E-02     0.1030388E+00     0.1740107E-01     0.4593159E-09     0.9034886E-09     0.1806977E-08
     0.6000000E+01     0.9777861E+00    -0.1833268E-02     0.1047787E+00     0.1739783E-01     0.4593131E-09     0.9034858E-09     0.1806972E-08
     0.6100000E+01     0.9776013E+00    -0.1863700E-02     0.1065183E+00     0.1739455E-01     0.4593103E-09     0.9034829E-09     0.1806966E-08
     0.6200000E+01     0.9774134E+00    -0.1894125E-02     0.1082576E+00     0.1739120E-01     0.4593074E-09     0.9034800E-09     0.1806960E-08
     0.6300000E+01     0.9772225E+00    -0.1924544E-02     0.1099966E+00     0.1738781E-01     0.4593044E-09     0.9034771E-09     0.1806954E-08
     0.6400000E+01     0.9770285E+00    -0.1954957E-02     0.1117352E+00     0.1738436E-01     0.4593014E-09     0.9034741E-09     0.1806948E-08
     0.6500000E+01     0.9768315E+00    -0.1985364E-02     0.1134734E+00     0.1738085E-01     0.4592983E-09     0.9034710E-09     0.1806942E-08
     0.6600000E+01     0.9766314E+00    -0.2015764E-02     0.1152113E+00     0.1737729E-01     0.4592952E-09     0.9034679E-09     0.1806936E-08
     0.6700000E+01     0.9764283E+00    -0.2046157E-02     0.1169489E+00     0.1737368E-01     0.4592921E-09     0.9034648E-09     0.1806930E-08
     0.6800000E+01     0.9762222E+00    -0.2076544E-02     0.1186861E+00     0.1737001E-01     0.4592889E-09     0.9034616E-09     0.1806923E-08
     0.6900000E+01     0.9760130E+00    -0.2106924E-02     0.1204229E+00     0.1736629E-01     0.4592857E-09     0.9034583E-09     0.1806917E-08
     0.7000000E+01     0.9758008E+00    -0.2137297E-02     0.1221593E+00     0.1736252E-01     0.4592824E-09     0.9034551E-09     0.1806910E-08
     0.7100000E+01     0.9755855E+00    -0.2167663E-02     0.1238954E+00     0.1735869E-01     0.4592791E-09     0.9034517E-09     0.1806903E-08
     0.7200000E+01     0.9753673E+00    -0.2198022E-02     0.1256311E+00     0.1735481E-01     0.4592757E-09     0.9034484E-09     0.1806897E-08
     0.7300000E+01     0.9751459E+00    -0.2228374E-02     0.1273664E+00     0.1735087E-01     0.4592722E-09     0.9034449E-09     0.1806890E-08
     0.7400000E+01     0.9749216E+00    -0.2258718E-02     0.1291012E+00     0.1734688E-01     0.4592688E-09     0.9034415E-09     0.1806883E-08
     0.7500000E+01     0.9746942E+00    -0.2289056E-02     0.1308357E+00     0.1734283E-01     0.4592653E-09     0.9034379E-09     0.1806876E-08
     0.7600000E+01     0.9744638E+00    -0.2319385E-02     0.1325698E+00     0.1733873E-01     0.4592617E-09     0.9034344E-09     0.1806869E-08
     0.7700000E+01     0.9742303E+00    -0.2349707E-02     0.1343035E+00     0.1733458E-01     0.4592581E-09     0.9034308E-09     0.1806862E-08
     0.7800000E+01     0.9739938E+00    -0.2380022E-02     0.1360367E+00     0.1733038E-01     0.4592544E-09     0.9034271E-09     0.1806854E-08
     0.7900000E+01     0.9737543E+00    -0.2410328E-02     0.1377695E+00     0.1732611E-01     0.4592507E-09     0.9034234E-09     0.1806847E-08
     0.8000000E+01     0.9735118E+00    -0.2440627E-02     0.1395019E+00     0.1732180E-01     0.4592470E-09     0.9034196E-09     0.1806839E-08
     0.8100000E+01     0.9732662E+00    -0.2470918E-02     0.1412339E+00     0.1731743E-01     0.4592432E-09     0.9034158E-09     0.1806832E-08
     0.8200000E+01     0.9730176E+00    -0.2501201E-02     0.1429654E+00     0.1731301E-01     0.4592393E-09     0.9034120E-09     0.1806824E-08
     0.8300000E+01     0.9727660E+00    -0.2531475E-02     0.1446965E+00     0.1730853E-01     0.4592354E-09     0.9034081E-09     0.1806816E-08
     0.8400000E+01     0.9725113E+00    -0.2561741E-02     0.1464271E+00     0.1730401E-01     0.4592315E-09     0.9034041E-09     0.1806808E-08
     0.8500000E+01     0.9722536E+00    -0.2591999E-02     0.1481573E+00     0.1729942E-01     0.4592275E-09     0.9034002E-09     0.1806800E-08
     0.8600000E+01     0.9719929E+00    -0.2622249E-02     0.1498870E+00     0.1729478E-01     0.4592234E-09     0.9033961E-09     0.1806792E-08
     0.8700000E+01     0.9717292E+00    -0.2652490E-02     0.1516163E+00     0.1729009E-01     0.4592194E-09     0.9033920E-09     0.1806784E-08
