#          r               U
     0.9832914E+00     0.9035710E-09
     0.9832914E+00     0.9035709E-09
     0.9832916E+00     0.9035708E-09
     0.9832918E+00     0.9035707E-09
     0.9832920E+00     0.9035704E-09
     0.9832923E+00     0.9035702E-09
     0.9832926E+00     0.9035699E-09
     0.9832930E+00     0.9035695E-09
     0.9832934E+00     0.9035691E-09
     0.9832939E+00     0.9035687E-09
     0.9832945E+00     0.9035682E-09
     0.9832951E+00     0.9035676E-09
     0.9832957E+00     0.9035670E-09
     0.9832964E+00     0.9035664E-09
     0.9832971E+00     0.9035657E-09
     0.9832979E+00     0.9035650E-09
     0.9832988E+00     0.9035642E-09
     0.9832997E+00     0.9035634E-09
     0.9833007E+00     0.9035625E-09
     0.9833017E+00     0.9035616E-09
     0.9833027E+00     0.9035606E-09
     0.9833038E+00     0.9035596E-09
     0.9833050E+00     0.9035585E-09
     0.9833062E+00     0.9035574E-09
     0.9833075E+00     0.9035562E-09
     0.9833088E+00     0.9035550E-09
     0.9833101E+00     0.9035538E-09
     0.9833116E+00     0.9035525E-09
     0.9833130E+00     0.9035511E-09
     0.9833145E+00     0.9035497E-09
     0.9833161E+00     0.9035483E-09
     0.9833177E+00     0.9035468E-09
     0.9833194E+00     0.9035452E-09
     0.9833211E+00     0.9035436E-09
     0.9833229E+00     0.9035420E-09
     0.9833248E+00     0.9035403E-09
     0.9833266E+00     0.9035386E-09
     0.9833286E+00     0.9035368E-09
     0.9833306E+00     0.9035350E-09
     0.9833326E+00     0.9035331E-09
     0.9833347E+00     0.9035312E-09
     0.9833368E+00     0.9035292E-09
     0.9833390E+00     0.9035272E-09
     0.9833413E+00     0.9035252E-09
     0.9833435E+00     0.9035231E-09
     0.9833459E+00     0.9035209E-09
     0.9833483E+00     0.9035187E-09
     0.9833507E+00     0.9035165E-09
     0.9833532E+00     0.9035142E-09
     0.9833558E+00     0.9035118E-09
     0.9833584E+00     0.9035094E-09
     0.9833610E+00     0.9035070E-09
     0.9833637E+00     0.9035045E-09
     0.9833665E+00     0.9035020E-09
     0.9833693E+00     0.9034994E-09
     0.9833722E+00     0.9034968E-09
     0.9833751E+00     0.9034941E-09
     0.9833780E+00     0.9034914E-09
     0.9833810E+00     0.9034886E-09
     0.9833841E+00     0.9034858E-09
     0.9833872E+00     0.9034829E-09
     0.9833904E+00     0.9034800E-09
     0.9833936E+00     0.9034771E-09
     0.9833969E+00     0.9034741E-09
     0.9834002E+00     0.9034710E-09
     0.9834036E+00     0.9034679E-09
     0.9834070E+00     0.9034648E-09
     0.9834105E+00     0.9034616E-09
     0.9834140E+00     0.9034583E-09
     0.9834176E+00     0.9034551E-09
     0.9834212E+00     0.9034517E-09
     0.9834249E+00     0.9034484E-09
     0.9834286E+00     0.9034449E-09
     0.9834324E+00     0.9034415E-09
     0.9834362E+00     0.9034379E-09
     0.9834401E+00     0.9034344E-09
     0.9834440E+00     0.9034308E-09
     0.9834480E+00     0.9034271E-09
     0.9834520E+00     0.9034234E-09
     0.9834561E+00     0.9034196E-09
     0.9834603E+00     0.9034158E-09
     0.9834645E+00     0.9034120E-09
     0.9834687E+00     0.9034081E-09
     0.9834730E+00     0.9034041E-09
     0.9834773E+00     0.9034002E-09
     0.9834817E+00     0.9033961E-09
     0.9834862E+00     0.9033920E-09
     0.9834907E+00     0.9033879E-09
     0.9834952E+00     0.9033837E-09
     0.9834998E+00     0.9033795E-09
     0.9835045E+00     0.9033752E-09
     0.9835092E+00     0.9033709E-09
     0.9835139E+00     0.9033666E-09
     0.9835187E+00     0.9033622E-09
     0.9835236E+00     0.9033577E-09
     0.9835285E+00     0.9033532E-09
     0.9835334E+00     0.9033486E-09
     0.9835384E+00     0.9033441E-09
     0.9835435E+00     0.9033394E-09
     0.9835486E+00     0.9033347E-09
     0.9835537E+00     0.9033300E-09
     0.9835589E+00     0.9033252E-09
     0.9835642E+00     0.9033204E-09
     0.9835695E+00     0.9033155E-09
     0.9835749E+00     0.9033106E-09
     0.9835803E+00     0.9033056E-09
     0.9835857E+00     0.9033006E-09
     0.9835912E+00     0.9032955E-09
     0.9835968E+00     0.9032904E-09
     0.9836024E+00     0.9032853E-09
     0.9836081E+00     0.9032801E-09
     0.9836138E+00     0.9032748E-09
     0.9836196E+00     0.9032695E-09
     0.9836254E+00     0.9032642E-09
     0.9836312E+00     0.9032588E-09
     0.9836371E+00     0.9032534E-09
     0.9836431E+00     0.9032479E-09
     0.9836491E+00     0.9032424E-09
     0.9836552E+00     0.9032368E-09
     0.9836613E+00     0.9032312E-09
     0.9836675E+00     0.9032255E-09
     0.9836737E+00     0.9032198E-09
     0.9836800E+00     0.9032141E-09
     0.9836863E+00     0.9032083E-09
     0.9836927E+00     0.9032024E-09
     0.9836991E+00     0.9031965E-09
     0.9837055E+00     0.9031906E-09
     0.9837121E+00     0.9031846E-09
     0.9837186E+00     0.9031786E-09
     0.9837252E+00     0.9031725E-09
     0.9837319E+00     0.9031664E-09
     0.9837386E+00     0.9031602E-09
     0.9837454E+00     0.9031540E-09
     0.9837522E+00     0.9031477E-09
     0.9837591E+00     0.9031414E-09
     0.9837660E+00     0.9031351E-09
     0.9837730E+00     0.9031287E-09
     0.9837800E+00     0.9031222E-09
     0.9837871E+00     0.9031157E-09
     0.9837942E+00     0.9031092E-09
     0.9838014E+00     0.9031026E-09
     0.9838086E+00     0.9030960E-09
     0.9838159E+00     0.9030893E-09
     0.9838232E+00     0.9030826E-09
     0.9838306E+00     0.9030758E-09
     0.9838380E+00     0.9030690E-09
     0.9838454E+00     0.9030621E-09
     0.9838530E+00     0.9030552E-09
     0.9838605E+00     0.9030483E-09
     0.9838681E+00     0.9030413E-09
     0.9838758E+00     0.9030343E-09
     0.9838835E+00     0.9030272E-09
     0.9838913E+00     0.9030201E-09
     0.9838991E+00     0.9030129E-09
     0.9839070E+00     0.9030057E-09
     0.9839149E+00     0.9029984E-09
     0.9839229E+00     0.9029911E-09
     0.9839309E+00     0.9029837E-09
     0.9839389E+00     0.9029763E-09
     0.9839471E+00     0.9029689E-09
     0.9839552E+00     0.9029614E-09
     0.9839634E+00     0.9029538E-09
     0.9839717E+00     0.9029463E-09
     0.9839800E+00     0.9029386E-09
     0.9839884E+00     0.9029310E-09
     0.9839968E+00     0.9029232E-09
     0.9840053E+00     0.9029155E-09
     0.9840138E+00     0.9029077E-09
     0.9840223E+00     0.9028998E-09
     0.9840309E+00     0.9028919E-09
     0.9840396E+00     0.9028840E-09
     0.9840483E+00     0.9028760E-09
     0.9840570E+00     0.9028680E-09
     0.9840658E+00     0.9028599E-09
     0.9840747E+00     0.9028518E-09
     0.9840836E+00     0.9028436E-09
     0.9840926E+00     0.9028354E-09
     0.9841016E+00     0.9028271E-09
     0.9841106E+00     0.9028188E-09
     0.9841197E+00     0.9028105E-09
     0.9841289E+00     0.9028021E-09
     0.9841380E+00     0.9027936E-09
     0.9841473E+00     0.9027852E-09
     0.9841566E+00     0.9027766E-09
     0.9841659E+00     0.9027681E-09
