#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.3074833E+00    -0.3130483E-03     0.1825833E-02     0.1825771E-01     0.2802406E-10     0.1618092E-09     0.3236185E-09
     0.2000000E+00     0.3074364E+00    -0.6261273E-03     0.3651480E-02     0.1825492E-01     0.2804022E-10     0.1618254E-09     0.3236508E-09
     0.3000000E+00     0.3073581E+00    -0.9392675E-03     0.5476755E-02     0.1825027E-01     0.2806715E-10     0.1618523E-09     0.3237046E-09
     0.4000000E+00     0.3072485E+00    -0.1252500E-02     0.7301472E-02     0.1824376E-01     0.2810488E-10     0.1618900E-09     0.3237801E-09
     0.5000000E+00     0.3071076E+00    -0.1565854E-02     0.9125445E-02     0.1823538E-01     0.2815341E-10     0.1619386E-09     0.3238772E-09
     0.6000000E+00     0.3069354E+00    -0.1879363E-02     0.1094849E-01     0.1822513E-01     0.2821278E-10     0.1619979E-09     0.3239959E-09
     0.7000000E+00     0.3067317E+00    -0.2193055E-02     0.1277041E-01     0.1821301E-01     0.2828302E-10     0.1620682E-09     0.3241364E-09
     0.8000000E+00     0.3064967E+00    -0.2506963E-02     0.1459102E-01     0.1819900E-01     0.2836415E-10     0.1621493E-09     0.3242986E-09
     0.9000000E+00     0.3062303E+00    -0.2821117E-02     0.1641015E-01     0.1818310E-01     0.2845623E-10     0.1622414E-09     0.3244828E-09
     0.1000000E+01     0.3059325E+00    -0.3135549E-02     0.1822758E-01     0.1816531E-01     0.2855929E-10     0.1623445E-09     0.3246889E-09
     0.1100000E+01     0.3056032E+00    -0.3450289E-02     0.2004314E-01     0.1814562E-01     0.2867339E-10     0.1624586E-09     0.3249171E-09
     0.1200000E+01     0.3052424E+00    -0.3765370E-02     0.2185664E-01     0.1812400E-01     0.2879858E-10     0.1625837E-09     0.3251675E-09
     0.1300000E+01     0.3048501E+00    -0.4080822E-02     0.2366788E-01     0.1810046E-01     0.2893494E-10     0.1627201E-09     0.3254402E-09
     0.1400000E+01     0.3044263E+00    -0.4396678E-02     0.2547667E-01     0.1807499E-01     0.2908252E-10     0.1628677E-09     0.3257354E-09
     0.1500000E+01     0.3039708E+00    -0.4712969E-02     0.2728281E-01     0.1804756E-01     0.2924141E-10     0.1630266E-09     0.3260531E-09
     0.1600000E+01     0.3034836E+00    -0.5029728E-02     0.2908612E-01     0.1801816E-01     0.2941168E-10     0.1631968E-09     0.3263937E-09
     0.1700000E+01     0.3029648E+00    -0.5346988E-02     0.3088638E-01     0.1798679E-01     0.2959342E-10     0.1633786E-09     0.3267572E-09
     0.1800000E+01     0.3024142E+00    -0.5664780E-02     0.3268341E-01     0.1795342E-01     0.2978673E-10     0.1635719E-09     0.3271438E-09
     0.1900000E+01     0.3018318E+00    -0.5983138E-02     0.3447700E-01     0.1791803E-01     0.2999171E-10     0.1637769E-09     0.3275537E-09
     0.2000000E+01     0.3012176E+00    -0.6302096E-02     0.3626695E-01     0.1788061E-01     0.3020846E-10     0.1639936E-09     0.3279872E-09
     0.2100000E+01     0.3005714E+00    -0.6621685E-02     0.3805305E-01     0.1784114E-01     0.3043709E-10     0.1642223E-09     0.3284445E-09
     0.2200000E+01     0.2998932E+00    -0.6941942E-02     0.3983511E-01     0.1779960E-01     0.3067773E-10     0.1644629E-09     0.3289258E-09
     0.2300000E+01     0.2991830E+00    -0.7262898E-02     0.4161290E-01     0.1775597E-01     0.3093051E-10     0.1647157E-09     0.3294313E-09
     0.2400000E+01     0.2984406E+00    -0.7584590E-02     0.4338623E-01     0.1771021E-01     0.3119555E-10     0.1649807E-09     0.3299614E-09
     0.2500000E+01     0.2976660E+00    -0.7907052E-02     0.4515487E-01     0.1766231E-01     0.3147300E-10     0.1652582E-09     0.3305163E-09
     0.2600000E+01     0.2968592E+00    -0.8230319E-02     0.4691862E-01     0.1761225E-01     0.3176301E-10     0.1655482E-09     0.3310963E-09
     0.2700000E+01     0.2960200E+00    -0.8554427E-02     0.4867725E-01     0.1755999E-01     0.3206573E-10     0.1658509E-09     0.3317018E-09
     0.2800000E+01     0.2951483E+00    -0.8879411E-02     0.5043054E-01     0.1750551E-01     0.3238134E-10     0.1661665E-09     0.3323330E-09
     0.2900000E+01     0.2942440E+00    -0.9205310E-02     0.5217828E-01     0.1744877E-01     0.3271000E-10     0.1664952E-09     0.3329903E-09
     0.3000000E+01     0.2933072E+00    -0.9532159E-02     0.5392022E-01     0.1738975E-01     0.3305190E-10     0.1668371E-09     0.3336741E-09
     0.3100000E+01     0.2923376E+00    -0.9859995E-02     0.5565615E-01     0.1732840E-01     0.3340723E-10     0.1671924E-09     0.3343848E-09
     0.3200000E+01     0.2913351E+00    -0.1018886E-01     0.5738582E-01     0.1726471E-01     0.3377618E-10     0.1675613E-09     0.3351227E-09
     0.3300000E+01     0.2902998E+00    -0.1051879E-01     0.5910901E-01     0.1719863E-01     0.3415898E-10     0.1679441E-09     0.3358883E-09
     0.3400000E+01     0.2892314E+00    -0.1084982E-01     0.6082547E-01     0.1713012E-01     0.3455582E-10     0.1683410E-09     0.3366820E-09
     0.3500000E+01     0.2881298E+00    -0.1118199E-01     0.6253495E-01     0.1705915E-01     0.3496696E-10     0.1687521E-09     0.3375042E-09
     0.3600000E+01     0.2869949E+00    -0.1151535E-01     0.6423721E-01     0.1698566E-01     0.3539261E-10     0.1691778E-09     0.3383556E-09
     0.3700000E+01     0.2858267E+00    -0.1184993E-01     0.6593200E-01     0.1690963E-01     0.3583305E-10     0.1696182E-09     0.3392364E-09
     0.3800000E+01     0.2846249E+00    -0.1218578E-01     0.6761905E-01     0.1683100E-01     0.3628852E-10     0.1700737E-09     0.3401474E-09
     0.3900000E+01     0.2833895E+00    -0.1252293E-01     0.6929811E-01     0.1674973E-01     0.3675930E-10     0.1705445E-09     0.3410889E-09
     0.4000000E+01     0.2821203E+00    -0.1286144E-01     0.7096891E-01     0.1666577E-01     0.3724567E-10     0.1710308E-09     0.3420617E-09
     0.4100000E+01     0.2808171E+00    -0.1320134E-01     0.7263118E-01     0.1657906E-01     0.3774794E-10     0.1715331E-09     0.3430662E-09
     0.4200000E+01     0.2794799E+00    -0.1354268E-01     0.7428463E-01     0.1648956E-01     0.3826641E-10     0.1720516E-09     0.3441032E-09
     0.4300000E+01     0.2781085E+00    -0.1388551E-01     0.7592899E-01     0.1639720E-01     0.3880141E-10     0.1725866E-09     0.3451732E-09
     0.4400000E+01     0.2767028E+00    -0.1422986E-01     0.7756397E-01     0.1630193E-01     0.3935328E-10     0.1731384E-09     0.3462769E-09
     0.4500000E+01     0.2752625E+00    -0.1457579E-01     0.7918928E-01     0.1620368E-01     0.3992238E-10     0.1737075E-09     0.3474151E-09
     0.4600000E+01     0.2737876E+00    -0.1492334E-01     0.8080461E-01     0.1610240E-01     0.4050906E-10     0.1742942E-09     0.3485884E-09
     0.4700000E+01     0.2722778E+00    -0.1527257E-01     0.8240966E-01     0.1599802E-01     0.4111372E-10     0.1748989E-09     0.3497978E-09
     0.4800000E+01     0.2707330E+00    -0.1562352E-01     0.8400411E-01     0.1589047E-01     0.4173676E-10     0.1755219E-09     0.3510438E-09
     0.4900000E+01     0.2691530E+00    -0.1597624E-01     0.8558764E-01     0.1577966E-01     0.4237859E-10     0.1761638E-09     0.3523275E-09
     0.5000000E+01     0.2675377E+00    -0.1633079E-01     0.8715993E-01     0.1566554E-01     0.4303967E-10     0.1768248E-09     0.3536497E-09
     0.5100000E+01     0.2658868E+00    -0.1668721E-01     0.8872064E-01     0.1554802E-01     0.4372043E-10     0.1775056E-09     0.3550112E-09
     0.5200000E+01     0.2642002E+00    -0.1704556E-01     0.9026942E-01     0.1542702E-01     0.4442137E-10     0.1782065E-09     0.3564131E-09
     0.5300000E+01     0.2624776E+00    -0.1740590E-01     0.9180592E-01     0.1530244E-01     0.4514298E-10     0.1789281E-09     0.3578563E-09
     0.5400000E+01     0.2607189E+00    -0.1776827E-01     0.9332978E-01     0.1517421E-01     0.4588578E-10     0.1796709E-09     0.3593419E-09
     0.5500000E+01     0.2589239E+00    -0.1813274E-01     0.9484064E-01     0.1504223E-01     0.4665032E-10     0.1804355E-09     0.3608710E-09
     0.5600000E+01     0.2570923E+00    -0.1849937E-01     0.9633810E-01     0.1490639E-01     0.4743717E-10     0.1812223E-09     0.3624447E-09
     0.5700000E+01     0.2552240E+00    -0.1886820E-01     0.9782178E-01     0.1476661E-01     0.4824691E-10     0.1820321E-09     0.3640641E-09
     0.5800000E+01     0.2533186E+00    -0.1923931E-01     0.9929129E-01     0.1462276E-01     0.4908017E-10     0.1828653E-09     0.3657307E-09
     0.5900000E+01     0.2513760E+00    -0.1961276E-01     0.1007462E+00     0.1447474E-01     0.4993761E-10     0.1837228E-09     0.3674455E-09
     0.6000000E+01     0.2493960E+00    -0.1998860E-01     0.1021861E+00     0.1432243E-01     0.5081989E-10     0.1846051E-09     0.3692101E-09
     0.6100000E+01     0.2473782E+00    -0.2036691E-01     0.1036105E+00     0.1416571E-01     0.5172774E-10     0.1855129E-09     0.3710258E-09
     0.6200000E+01     0.2453225E+00    -0.2074774E-01     0.1050191E+00     0.1400444E-01     0.5266189E-10     0.1864471E-09     0.3728941E-09
     0.6300000E+01     0.2432286E+00    -0.2113117E-01     0.1064113E+00     0.1383850E-01     0.5362313E-10     0.1874083E-09     0.3748166E-09
     0.6400000E+01     0.2410962E+00    -0.2151726E-01     0.1077866E+00     0.1366774E-01     0.5461227E-10     0.1883974E-09     0.3767949E-09
     0.6500000E+01     0.2389250E+00    -0.2190608E-01     0.1091447E+00     0.1349202E-01     0.5563017E-10     0.1894153E-09     0.3788307E-09
     0.6600000E+01     0.2367149E+00    -0.2229771E-01     0.1104849E+00     0.1331118E-01     0.5667773E-10     0.1904629E-09     0.3809258E-09
     0.6700000E+01     0.2344654E+00    -0.2269221E-01     0.1118067E+00     0.1312506E-01     0.5775588E-10     0.1915410E-09     0.3830821E-09
     0.6800000E+01     0.2321763E+00    -0.2308966E-01     0.1131097E+00     0.1293348E-01     0.5886561E-10     0.1926508E-09     0.3853016E-09
     0.6900000E+01     0.2298474E+00    -0.2349015E-01     0.1143932E+00     0.1273628E-01     0.6000796E-10     0.1937931E-09     0.3875863E-09
     0.7000000E+01     0.2274782E+00    -0.2389373E-01     0.1156567E+00     0.1253325E-01     0.6118401E-10     0.1949692E-09     0.3899384E-09
     0.7100000E+01     0.2250685E+00    -0.2430050E-01     0.1168997E+00     0.1232421E-01     0.6239491E-10     0.1961801E-09     0.3923602E-09
     0.7200000E+01     0.2226180E+00    -0.2471054E-01     0.1181214E+00     0.1210895E-01     0.6364186E-10     0.1974270E-09     0.3948540E-09
     0.7300000E+01     0.2201263E+00    -0.2512392E-01     0.1193212E+00     0.1188725E-01     0.6492611E-10     0.1987113E-09     0.3974226E-09
     0.7400000E+01     0.2175931E+00    -0.2554073E-01     0.1204986E+00     0.1165888E-01     0.6624900E-10     0.2000342E-09     0.4000683E-09
     0.7500000E+01     0.2150180E+00    -0.2596105E-01     0.1216528E+00     0.1142359E-01     0.6761192E-10     0.2013971E-09     0.4027942E-09
     0.7600000E+01     0.2124008E+00    -0.2638498E-01     0.1227831E+00     0.1118114E-01     0.6901635E-10     0.2028015E-09     0.4056030E-09
     0.7700000E+01     0.2097409E+00    -0.2681260E-01     0.1238888E+00     0.1093126E-01     0.7046384E-10     0.2042490E-09     0.4084980E-09
     0.7800000E+01     0.2070381E+00    -0.2724400E-01     0.1249691E+00     0.1067367E-01     0.7195602E-10     0.2057412E-09     0.4114824E-09
     0.7900000E+01     0.2042920E+00    -0.2767927E-01     0.1260232E+00     0.1040805E-01     0.7349462E-10     0.2072798E-09     0.4145596E-09
     0.8000000E+01     0.2015021E+00    -0.2811850E-01     0.1270504E+00     0.1013411E-01     0.7508147E-10     0.2088666E-09     0.4177333E-09
     0.8100000E+01     0.1986681E+00    -0.2856179E-01     0.1280498E+00     0.9851514E-02     0.7671848E-10     0.2105036E-09     0.4210073E-09
     0.8200000E+01     0.1957896E+00    -0.2900923E-01     0.1290204E+00     0.9559901E-02     0.7840770E-10     0.2121929E-09     0.4243857E-09
     0.8300000E+01     0.1928662E+00    -0.2946092E-01     0.1299614E+00     0.9258905E-02     0.8015128E-10     0.2139364E-09     0.4278729E-09
     0.8400000E+01     0.1898973E+00    -0.2991695E-01     0.1308719E+00     0.8948131E-02     0.8195149E-10     0.2157367E-09     0.4314733E-09
     0.8500000E+01     0.1868826E+00    -0.3037742E-01     0.1317507E+00     0.8627162E-02     0.8381076E-10     0.2175959E-09     0.4351919E-09
     0.8600000E+01     0.1838217E+00    -0.3084242E-01     0.1325970E+00     0.8295556E-02     0.8573165E-10     0.2195168E-09     0.4390336E-09
