#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.9832898E+00    -0.3061454E-04    -0.4626277E-03    -0.4626272E-02     0.3212212E-10     0.9035723E-09     0.1807145E-08
     0.2000000E+00     0.9832852E+00    -0.6122924E-04    -0.9252539E-03    -0.4626250E-02     0.3212604E-10     0.9035763E-09     0.1807153E-08
     0.3000000E+00     0.9832776E+00    -0.9184429E-04    -0.1387877E-02    -0.4626214E-02     0.3213257E-10     0.9035828E-09     0.1807166E-08
     0.4000000E+00     0.9832668E+00    -0.1224598E-03    -0.1850496E-02    -0.4626164E-02     0.3214172E-10     0.9035919E-09     0.1807184E-08
     0.5000000E+00     0.9832531E+00    -0.1530761E-03    -0.2313110E-02    -0.4626099E-02     0.3215348E-10     0.9036037E-09     0.1807207E-08
     0.6000000E+00     0.9832362E+00    -0.1836932E-03    -0.2775716E-02    -0.4626020E-02     0.3216785E-10     0.9036181E-09     0.1807236E-08
     0.7000000E+00     0.9832163E+00    -0.2143113E-03    -0.3238313E-02    -0.4625926E-02     0.3218484E-10     0.9036351E-09     0.1807270E-08
     0.8000000E+00     0.9831934E+00    -0.2449306E-03    -0.3700900E-02    -0.4625818E-02     0.3220444E-10     0.9036547E-09     0.1807309E-08
     0.9000000E+00     0.9831673E+00    -0.2755513E-03    -0.4163476E-02    -0.4625696E-02     0.3222666E-10     0.9036769E-09     0.1807354E-08
     0.1000000E+01     0.9831383E+00    -0.3061735E-03    -0.4626039E-02    -0.4625559E-02     0.3225150E-10     0.9037017E-09     0.1807403E-08
     0.1100000E+01     0.9831061E+00    -0.3367974E-03    -0.5088588E-02    -0.4625407E-02     0.3227895E-10     0.9037292E-09     0.1807458E-08
     0.1200000E+01     0.9830709E+00    -0.3674231E-03    -0.5551120E-02    -0.4625242E-02     0.3230901E-10     0.9037592E-09     0.1807518E-08
     0.1300000E+01     0.9830326E+00    -0.3980510E-03    -0.6013635E-02    -0.4625062E-02     0.3234170E-10     0.9037919E-09     0.1807584E-08
     0.1400000E+01     0.9829913E+00    -0.4286810E-03    -0.6476132E-02    -0.4624867E-02     0.3237700E-10     0.9038272E-09     0.1807654E-08
     0.1500000E+01     0.9829469E+00    -0.4593134E-03    -0.6938608E-02    -0.4624658E-02     0.3241492E-10     0.9038652E-09     0.1807730E-08
     0.1600000E+01     0.9828994E+00    -0.4899484E-03    -0.7401063E-02    -0.4624435E-02     0.3245547E-10     0.9039057E-09     0.1807811E-08
     0.1700000E+01     0.9828489E+00    -0.5205861E-03    -0.7863495E-02    -0.4624197E-02     0.3249863E-10     0.9039489E-09     0.1807898E-08
     0.1800000E+01     0.9827953E+00    -0.5512268E-03    -0.8325902E-02    -0.4623944E-02     0.3254441E-10     0.9039946E-09     0.1807989E-08
     0.1900000E+01     0.9827387E+00    -0.5818704E-03    -0.8788283E-02    -0.4623677E-02     0.3259282E-10     0.9040430E-09     0.1808086E-08
     0.2000000E+01     0.9826789E+00    -0.6125174E-03    -0.9250637E-02    -0.4623396E-02     0.3264385E-10     0.9040941E-09     0.1808188E-08
     0.2100000E+01     0.9826162E+00    -0.6431677E-03    -0.9712962E-02    -0.4623100E-02     0.3269751E-10     0.9041477E-09     0.1808295E-08
     0.2200000E+01     0.9825503E+00    -0.6738216E-03    -0.1017526E-01    -0.4622790E-02     0.3275380E-10     0.9042040E-09     0.1808408E-08
     0.2300000E+01     0.9824814E+00    -0.7044793E-03    -0.1063752E-01    -0.4622465E-02     0.3281271E-10     0.9042629E-09     0.1808526E-08
     0.2400000E+01     0.9824094E+00    -0.7351409E-03    -0.1109975E-01    -0.4622126E-02     0.3287425E-10     0.9043245E-09     0.1808649E-08
     0.2500000E+01     0.9823344E+00    -0.7658066E-03    -0.1156194E-01    -0.4621773E-02     0.3293842E-10     0.9043886E-09     0.1808777E-08
     0.2600000E+01     0.9822562E+00    -0.7964766E-03    -0.1202410E-01    -0.4621404E-02     0.3300522E-10     0.9044554E-09     0.1808911E-08
     0.2700000E+01     0.9821751E+00    -0.8271510E-03    -0.1248622E-01    -0.4621022E-02     0.3307466E-10     0.9045249E-09     0.1809050E-08
     0.2800000E+01     0.9820908E+00    -0.8578300E-03    -0.1294831E-01    -0.4620624E-02     0.3314673E-10     0.9045970E-09     0.1809194E-08
     0.2900000E+01     0.9820035E+00    -0.8885139E-03    -0.1341035E-01    -0.4620213E-02     0.3322144E-10     0.9046717E-09     0.1809343E-08
     0.3000000E+01     0.9819131E+00    -0.9192027E-03    -0.1387235E-01    -0.4619786E-02     0.3329879E-10     0.9047490E-09     0.1809498E-08
     0.3100000E+01     0.9818197E+00    -0.9498966E-03    -0.1433431E-01    -0.4619345E-02     0.3337878E-10     0.9048290E-09     0.1809658E-08
     0.3200000E+01     0.9817231E+00    -0.9805958E-03    -0.1479622E-01    -0.4618890E-02     0.3346140E-10     0.9049116E-09     0.1809823E-08
     0.3300000E+01     0.9816235E+00    -0.1011300E-02    -0.1525808E-01    -0.4618420E-02     0.3354668E-10     0.9049969E-09     0.1809994E-08
     0.3400000E+01     0.9815209E+00    -0.1042011E-02    -0.1571990E-01    -0.4617935E-02     0.3363460E-10     0.9050848E-09     0.1810170E-08
     0.3500000E+01     0.9814151E+00    -0.1072727E-02    -0.1618167E-01    -0.4617436E-02     0.3372517E-10     0.9051754E-09     0.1810351E-08
     0.3600000E+01     0.9813063E+00    -0.1103449E-02    -0.1664339E-01    -0.4616922E-02     0.3381838E-10     0.9052686E-09     0.1810537E-08
     0.3700000E+01     0.9811944E+00    -0.1134178E-02    -0.1710505E-01    -0.4616394E-02     0.3391425E-10     0.9053645E-09     0.1810729E-08
     0.3800000E+01     0.9810795E+00    -0.1164912E-02    -0.1756667E-01    -0.4615851E-02     0.3401278E-10     0.9054630E-09     0.1810926E-08
     0.3900000E+01     0.9809615E+00    -0.1195653E-02    -0.1802822E-01    -0.4615293E-02     0.3411396E-10     0.9055642E-09     0.1811128E-08
