#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.9832898E+00    -0.3069472E-04     0.1749577E-02     0.1749575E-01     0.4593983E-09     0.9178591E-09     0.1835718E-08
     0.2000000E+00     0.9832852E+00    -0.6138933E-04     0.3499149E-02     0.1749567E-01     0.4593983E-09     0.9178591E-09     0.1835718E-08
     0.3000000E+00     0.9832775E+00    -0.9208375E-04     0.5248710E-02     0.1749553E-01     0.4593982E-09     0.9178590E-09     0.1835718E-08
     0.4000000E+00     0.9832668E+00    -0.1227779E-03     0.6998254E-02     0.1749534E-01     0.4593981E-09     0.9178590E-09     0.1835718E-08
     0.5000000E+00     0.9832530E+00    -0.1534716E-03     0.8747777E-02     0.1749510E-01     0.4593979E-09     0.9178588E-09     0.1835718E-08
     0.6000000E+00     0.9832361E+00    -0.1841648E-03     0.1049727E-01     0.1749480E-01     0.4593977E-09     0.9178587E-09     0.1835717E-08
     0.7000000E+00     0.9832161E+00    -0.2148574E-03     0.1224673E-01     0.1749444E-01     0.4593975E-09     0.9178585E-09     0.1835717E-08
     0.8000000E+00     0.9831931E+00    -0.2455494E-03     0.1399616E-01     0.1749404E-01     0.4593973E-09     0.9178583E-09     0.1835717E-08
     0.9000000E+00     0.9831670E+00    -0.2762405E-03     0.1574554E-01     0.1749357E-01     0.4593970E-09     0.9178580E-09     0.1835716E-08
     0.1000000E+01     0.9831379E+00    -0.3069307E-03     0.1749487E-01     0.1749305E-01     0.4593966E-09     0.9178577E-09     0.1835715E-08
     0.1100000E+01     0.9831056E+00    -0.3376200E-03     0.1924415E-01     0.1749248E-01     0.4593963E-09     0.9178574E-09     0.1835715E-08
     0.1200000E+01     0.9830703E+00    -0.3683081E-03     0.2099337E-01     0.1749186E-01     0.4593959E-09     0.9178570E-09     0.1835714E-08
     0.1300000E+01     0.9830320E+00    -0.3989951E-03     0.2274252E-01     0.1749117E-01     0.4593954E-09     0.9178566E-09     0.1835713E-08
     0.1400000E+01     0.9829905E+00    -0.4296807E-03     0.2449160E-01     0.1749044E-01     0.4593950E-09     0.9178562E-09     0.1835712E-08
     0.1500000E+01     0.9829460E+00    -0.4603650E-03     0.2624060E-01     0.1748965E-01     0.4593945E-09     0.9178557E-09     0.1835711E-08
     0.1600000E+01     0.9828985E+00    -0.4910477E-03     0.2798953E-01     0.1748880E-01     0.4593939E-09     0.9178552E-09     0.1835710E-08
     0.1700000E+01     0.9828478E+00    -0.5217289E-03     0.2973836E-01     0.1748790E-01     0.4593934E-09     0.9178546E-09     0.1835709E-08
     0.1800000E+01     0.9827941E+00    -0.5524084E-03     0.3148711E-01     0.1748695E-01     0.4593928E-09     0.9178541E-09     0.1835708E-08
     0.1900000E+01     0.9827374E+00    -0.5830861E-03     0.3323575E-01     0.1748594E-01     0.4593921E-09     0.9178535E-09     0.1835707E-08
     0.2000000E+01     0.9826775E+00    -0.6137619E-03     0.3498429E-01     0.1748488E-01     0.4593915E-09     0.9178528E-09     0.1835706E-08
     0.2100000E+01     0.9826146E+00    -0.6444357E-03     0.3673273E-01     0.1748376E-01     0.4593908E-09     0.9178521E-09     0.1835704E-08
     0.2200000E+01     0.9825486E+00    -0.6751074E-03     0.3848104E-01     0.1748259E-01     0.4593900E-09     0.9178514E-09     0.1835703E-08
     0.2300000E+01     0.9824796E+00    -0.7057769E-03     0.4022924E-01     0.1748137E-01     0.4593892E-09     0.9178507E-09     0.1835701E-08
     0.2400000E+01     0.9824075E+00    -0.7364441E-03     0.4197732E-01     0.1748008E-01     0.4593884E-09     0.9178499E-09     0.1835700E-08
     0.2500000E+01     0.9823323E+00    -0.7671090E-03     0.4372526E-01     0.1747875E-01     0.4593876E-09     0.9178490E-09     0.1835698E-08
     0.2600000E+01     0.9822540E+00    -0.7977713E-03     0.4547306E-01     0.1747736E-01     0.4593867E-09     0.9178482E-09     0.1835696E-08
     0.2700000E+01     0.9821727E+00    -0.8284311E-03     0.4722073E-01     0.1747592E-01     0.4593858E-09     0.9178473E-09     0.1835695E-08
