#          t               x(t)              vx(t)             y(t)              vy(t)                T                U                E
     0.1000000E+00     0.9832898E+00    -0.3061529E-04     0.1749577E-02     0.1749575E-01     0.4593983E-09     0.9037139E-09     0.1807428E-08
     0.2000000E+00     0.9832852E+00    -0.6123049E-04     0.3499149E-02     0.1749567E-01     0.4593983E-09     0.9037139E-09     0.1807428E-08
     0.3000000E+00     0.9832776E+00    -0.9184548E-04     0.5248710E-02     0.1749553E-01     0.4593981E-09     0.9037138E-09     0.1807428E-08
     0.4000000E+00     0.9832668E+00    -0.1224602E-03     0.6998254E-02     0.1749534E-01     0.4593980E-09     0.9037137E-09     0.1807427E-08
     0.5000000E+00     0.9832531E+00    -0.1530745E-03     0.8747777E-02     0.1749510E-01     0.4593978E-09     0.9037135E-09     0.1807427E-08
     0.6000000E+00     0.9832362E+00    -0.1836883E-03     0.1049727E-01     0.1749480E-01     0.4593975E-09     0.9037133E-09     0.1807427E-08
     0.7000000E+00     0.9832163E+00    -0.2143014E-03     0.1224673E-01     0.1749445E-01     0.4593972E-09     0.9037131E-09     0.1807426E-08
     0.8000000E+00     0.9831934E+00    -0.2449139E-03     0.1399616E-01     0.1749404E-01     0.4593968E-09     0.9037128E-09     0.1807426E-08
     0.9000000E+00     0.9831674E+00    -0.2755256E-03     0.1574554E-01     0.1749357E-01     0.4593964E-09     0.9037124E-09     0.1807425E-08
     0.1000000E+01     0.9831383E+00    -0.3061364E-03     0.1749487E-01     0.1749306E-01     0.4593960E-09     0.9037120E-09     0.1807424E-08
     0.1100000E+01     0.9831061E+00    -0.3367462E-03     0.1924415E-01     0.1749248E-01     0.4593955E-09     0.9037116E-09     0.1807423E-08
     0.1200000E+01     0.9830709E+00    -0.3673549E-03     0.2099337E-01     0.1749186E-01     0.4593950E-09     0.9037111E-09     0.1807422E-08
     0.1300000E+01     0.9830327E+00    -0.3979624E-03     0.2274252E-01     0.1749118E-01     0.4593944E-09     0.9037105E-09     0.1807421E-08
     0.1400000E+01     0.9829913E+00    -0.4285685E-03     0.2449160E-01     0.1749044E-01     0.4593937E-09     0.9037099E-09     0.1807420E-08
     0.1500000E+01     0.9829469E+00    -0.4591733E-03     0.2624061E-01     0.1748965E-01     0.4593930E-09     0.9037093E-09     0.1807419E-08
     0.1600000E+01     0.9828995E+00    -0.4897766E-03     0.2798953E-01     0.1748881E-01     0.4593923E-09     0.9037086E-09     0.1807417E-08
     0.1700000E+01     0.9828490E+00    -0.5203783E-03     0.2973837E-01     0.1748791E-01     0.4593915E-09     0.9037079E-09     0.1807416E-08
     0.1800000E+01     0.9827954E+00    -0.5509783E-03     0.3148711E-01     0.1748696E-01     0.4593907E-09     0.9037071E-09     0.1807414E-08
     0.1900000E+01     0.9827388E+00    -0.5815764E-03     0.3323576E-01     0.1748595E-01     0.4593898E-09     0.9037063E-09     0.1807413E-08
     0.2000000E+01     0.9826791E+00    -0.6121727E-03     0.3498430E-01     0.1748489E-01     0.4593889E-09     0.9037054E-09     0.1807411E-08
     0.2100000E+01     0.9826164E+00    -0.6427670E-03     0.3673273E-01     0.1748377E-01     0.4593879E-09     0.9037045E-09     0.1807409E-08
     0.2200000E+01     0.9825505E+00    -0.6733591E-03     0.3848105E-01     0.1748260E-01     0.4593869E-09     0.9037035E-09     0.1807407E-08
     0.2300000E+01     0.9824817E+00    -0.7039491E-03     0.4022925E-01     0.1748137E-01     0.4593859E-09     0.9037025E-09     0.1807405E-08
     0.2400000E+01     0.9824098E+00    -0.7345368E-03     0.4197732E-01     0.1748009E-01     0.4593847E-09     0.9037014E-09     0.1807403E-08
     0.2500000E+01     0.9823348E+00    -0.7651220E-03     0.4372527E-01     0.1747876E-01     0.4593836E-09     0.9037003E-09     0.1807401E-08
     0.2600000E+01     0.9822567E+00    -0.7957048E-03     0.4547307E-01     0.1747737E-01     0.4593824E-09     0.9036991E-09     0.1807398E-08
     0.2700000E+01     0.9821756E+00    -0.8262849E-03     0.4722074E-01     0.1747593E-01     0.4593811E-09     0.9036979E-09     0.1807396E-08
     0.2800000E+01     0.9820915E+00    -0.8568624E-03     0.4896826E-01     0.1747443E-01     0.4593798E-09     0.9036967E-09     0.1807393E-08
     0.2900000E+01     0.9820043E+00    -0.8874370E-03     0.5071562E-01     0.1747288E-01     0.4593785E-09     0.9036954E-09     0.1807391E-08
     0.3000000E+01     0.9819140E+00    -0.9180088E-03     0.5246283E-01     0.1747127E-01     0.4593771E-09     0.9036940E-09     0.1807388E-08
     0.3100000E+01     0.9818207E+00    -0.9485775E-03     0.5420988E-01     0.1746961E-01     0.4593756E-09     0.9036926E-09     0.1807385E-08
     0.3200000E+01     0.9817243E+00    -0.9791432E-03     0.5595675E-01     0.1746790E-01     0.4593742E-09     0.9036912E-09     0.1807382E-08
     0.3300000E+01     0.9816248E+00    -0.1009706E-02     0.5770345E-01     0.1746613E-01     0.4593726E-09     0.9036897E-09     0.1807379E-08
     0.3400000E+01     0.9815223E+00    -0.1040265E-02     0.5944998E-01     0.1746431E-01     0.4593710E-09     0.9036882E-09     0.1807376E-08
     0.3500000E+01     0.9814168E+00    -0.1070821E-02     0.6119631E-01     0.1746243E-01     0.4593694E-09     0.9036866E-09     0.1807373E-08
     0.3600000E+01     0.9813082E+00    -0.1101373E-02     0.6294246E-01     0.1746050E-01     0.4593677E-09     0.9036850E-09     0.1807370E-08
     0.3700000E+01     0.9811965E+00    -0.1131921E-02     0.6468841E-01     0.1745851E-01     0.4593660E-09     0.9036833E-09     0.1807367E-08
     0.3800000E+01     0.9810818E+00    -0.1162466E-02     0.6643416E-01     0.1745647E-01     0.4593642E-09     0.9036816E-09     0.1807363E-08
     0.3900000E+01     0.9809640E+00    -0.1193007E-02     0.6817970E-01     0.1745437E-01     0.4593624E-09     0.9036798E-09     0.1807360E-08
     0.4000000E+01     0.9808432E+00    -0.1223545E-02     0.6992503E-01     0.1745222E-01     0.4593606E-09     0.9036780E-09     0.1807356E-08
     0.4100000E+01     0.9807193E+00    -0.1254078E-02     0.7167015E-01     0.1745002E-01     0.4593586E-09     0.9036761E-09     0.1807352E-08
     0.4200000E+01     0.9805924E+00    -0.1284607E-02     0.7341504E-01     0.1744776E-01     0.4593567E-09     0.9036742E-09     0.1807348E-08
     0.4300000E+01     0.9804624E+00    -0.1315132E-02     0.7515970E-01     0.1744545E-01     0.4593547E-09     0.9036722E-09     0.1807344E-08
     0.4400000E+01     0.9803293E+00    -0.1345653E-02     0.7690412E-01     0.1744308E-01     0.4593526E-09     0.9036702E-09     0.1807340E-08
     0.4500000E+01     0.9801933E+00    -0.1376169E-02     0.7864831E-01     0.1744066E-01     0.4593505E-09     0.9036682E-09     0.1807336E-08
     0.4600000E+01     0.9800541E+00    -0.1406681E-02     0.8039225E-01     0.1743818E-01     0.4593484E-09     0.9036661E-09     0.1807332E-08
     0.4700000E+01     0.9799119E+00    -0.1437188E-02     0.8213595E-01     0.1743565E-01     0.4593462E-09     0.9036639E-09     0.1807328E-08
     0.4800000E+01     0.9797667E+00    -0.1467690E-02     0.8387938E-01     0.1743307E-01     0.4593439E-09     0.9036617E-09     0.1807323E-08
     0.4900000E+01     0.9796184E+00    -0.1498188E-02     0.8562256E-01     0.1743043E-01     0.4593416E-09     0.9036595E-09     0.1807319E-08
     0.5000000E+01     0.9794670E+00    -0.1528681E-02     0.8736547E-01     0.1742774E-01     0.4593393E-09     0.9036572E-09     0.1807314E-08
     0.5100000E+01     0.9793126E+00    -0.1559168E-02     0.8910810E-01     0.1742499E-01     0.4593369E-09     0.9036549E-09     0.1807310E-08
     0.5200000E+01     0.9791552E+00    -0.1589651E-02     0.9085046E-01     0.1742219E-01     0.4593345E-09     0.9036525E-09     0.1807305E-08
     0.5300000E+01     0.9789947E+00    -0.1620128E-02     0.9259254E-01     0.1741934E-01     0.4593320E-09     0.9036500E-09     0.1807300E-08
     0.5400000E+01     0.9788312E+00    -0.1650601E-02     0.9433433E-01     0.1741643E-01     0.4593295E-09     0.9036476E-09     0.1807295E-08
     0.5500000E+01     0.9786646E+00    -0.1681067E-02     0.9607582E-01     0.1741346E-01     0.4593269E-09     0.9036450E-09     0.1807290E-08
     0.5600000E+01     0.9784950E+00    -0.1711529E-02     0.9781702E-01     0.1741045E-01     0.4593243E-09     0.9036425E-09     0.1807285E-08
     0.5700000E+01     0.9783223E+00    -0.1741984E-02     0.9955791E-01     0.1740737E-01     0.4593216E-09     0.9036399E-09     0.1807280E-08
     0.5800000E+01     0.9781466E+00    -0.1772434E-02     0.1012985E+00     0.1740425E-01     0.4593189E-09     0.9036372E-09     0.1807274E-08
     0.5900000E+01     0.9779678E+00    -0.1802878E-02     0.1030388E+00     0.1740107E-01     0.4593162E-09     0.9036345E-09     0.1807269E-08
     0.6000000E+01     0.9777860E+00    -0.1833317E-02     0.1047787E+00     0.1739783E-01     0.4593134E-09     0.9036317E-09     0.1807263E-08
     0.6100000E+01     0.9776011E+00    -0.1863749E-02     0.1065183E+00     0.1739455E-01     0.4593105E-09     0.9036289E-09     0.1807258E-08
     0.6200000E+01     0.9774132E+00    -0.1894175E-02     0.1082576E+00     0.1739120E-01     0.4593076E-09     0.9036260E-09     0.1807252E-08
     0.6300000E+01     0.9772223E+00    -0.1924595E-02     0.1099966E+00     0.1738781E-01     0.4593047E-09     0.9036231E-09     0.1807246E-08
     0.6400000E+01     0.9770283E+00    -0.1955009E-02     0.1117352E+00     0.1738436E-01     0.4593017E-09     0.9036202E-09     0.1807240E-08
     0.6500000E+01     0.9768313E+00    -0.1985416E-02     0.1134734E+00     0.1738085E-01     0.4592986E-09     0.9036172E-09     0.1807234E-08
     0.6600000E+01     0.9766312E+00    -0.2015817E-02     0.1152113E+00     0.1737729E-01     0.4592955E-09     0.9036142E-09     0.1807228E-08
     0.6700000E+01     0.9764281E+00    -0.2046211E-02     0.1169489E+00     0.1737368E-01     0.4592924E-09     0.9036111E-09     0.1807222E-08
     0.6800000E+01     0.9762220E+00    -0.2076599E-02     0.1186861E+00     0.1737001E-01     0.4592892E-09     0.9036079E-09     0.1807216E-08
     0.6900000E+01     0.9760128E+00    -0.2106980E-02     0.1204229E+00     0.1736629E-01     0.4592860E-09     0.9036048E-09     0.1807210E-08
     0.7000000E+01     0.9758006E+00    -0.2137353E-02     0.1221593E+00     0.1736252E-01     0.4592827E-09     0.9036015E-09     0.1807203E-08
     0.7100000E+01     0.9755853E+00    -0.2167720E-02     0.1238954E+00     0.1735869E-01     0.4592794E-09     0.9035982E-09     0.1807196E-08
