#     tiempo   posicion       velocidad      acelaracion
           1   1.550000       3.100000       3.100000    
           2   6.200000       6.200000       3.100000    
           3   13.95000       9.299999       3.100000    
           4   24.80000       12.40000       3.100000    
           5   38.75000       15.50000       3.100000    
           6   55.80000       18.60000       3.100000    
           7   75.95000       21.70000       3.100000    
           8   99.20000       24.80000       3.100000    
           9   125.5500       27.90000       3.100000    
          10   155.0000       31.00000       3.100000    
          11   187.5500       34.10000       3.100000    
          12   223.2000       37.20000       3.100000    
          13   261.9500       40.30000       3.100000    
          14   303.8000       43.40000       3.100000    
          15   348.7500       46.50000       3.100000    
          16   396.8000       49.60000       3.100000    
          17   447.9500       52.70000       3.100000    
          18   502.2000       55.80000       3.100000    
          19   559.5500       58.90000       3.100000    
          20   620.0000       62.00000       3.100000    
          21   683.5500       65.10000       3.100000    
          22   750.2000       68.20000       3.100000    
          23   819.9500       71.30000       3.100000    
          24   892.7999       74.39999       3.100000    
          25   968.7500       77.50000       3.100000    
          26   1047.800       80.60000       3.100000    
          27   1129.950       83.70000       3.100000    
          28   1215.200       86.80000       3.100000    
          29   1303.550       89.89999       3.100000    
          30   1395.000       93.00000       3.100000    
          31   1489.550       96.10000       3.100000    
          32   1587.200       99.20000       3.100000    
          33   1687.950       102.3000       3.100000    
          34   1791.800       105.4000       3.100000    
          35   1898.750       108.5000       3.100000    
          36   2008.800       111.6000       3.100000    
          37   2121.950       114.7000       3.100000    
          38   2238.200       117.8000       3.100000    
          39   2357.550       120.9000       3.100000    
          40   2480.000       124.0000       3.100000    
          41   2605.550       127.1000       3.100000    
          42   2734.200       130.2000       3.100000    
          43   2865.950       133.3000       3.100000    
          44   3000.800       136.4000       3.100000    
          45   3138.750       139.5000       3.100000    
          46   3279.800       142.6000       3.100000    
          47   3423.950       145.7000       3.100000    
          48   3571.200       148.8000       3.100000    
          49   3721.550       151.9000       3.100000    
          50   3875.000       155.0000       3.100000    
          51   4031.550       158.1000       3.100000    
          52   4191.200       161.2000       3.100000    
          53   4353.950       164.3000       3.100000    
          54   4519.800       167.4000       3.100000    
          55   4688.750       170.5000       3.100000    
          56   4860.800       173.6000       3.100000    
          57   5035.950       176.7000       3.100000    
          58   5214.200       179.8000       3.100000    
          59   5395.550       182.9000       3.100000    
          60   5580.000       186.0000       3.100000    
          61   5767.550       189.1000       3.100000    
          62   5958.200       192.2000       3.100000    
          63   6151.950       195.3000       3.100000    
          64   6348.800       198.4000       3.100000    
          65   6548.750       201.5000       3.100000    
          66   6751.800       204.6000       3.100000    
          67   6957.950       207.7000       3.100000    
          68   7167.200       210.8000       3.100000    
          69   7379.550       213.9000       3.100000    
          70   7595.000       217.0000       3.100000    
          71   7813.550       220.1000       3.100000    
          72   8035.200       223.2000       3.100000    
          73   8259.949       226.3000       3.100000    
          74   8487.800       229.4000       3.100000    
          75   8718.750       232.5000       3.100000    
          76   8952.800       235.6000       3.100000    
          77   9189.950       238.7000       3.100000    
          78   9430.199       241.8000       3.100000    
          79   9673.550       244.9000       3.100000    
          80   9920.000       248.0000       3.100000    
          81   10169.55       251.1000       3.100000    
          82   10422.20       254.2000       3.100000    
          83   10677.95       257.3000       3.100000    
          84   10936.80       260.4000       3.100000    
          85   11198.75       263.5000       3.100000    
          86   11463.80       266.6000       3.100000    
          87   11731.95       269.7000       3.100000    
          88   12003.20       272.8000       3.100000    
          89   12277.55       275.9000       3.100000    
          90   12555.00       279.0000       3.100000    
          91   12835.55       282.1000       3.100000    
          92   13119.20       285.2000       3.100000    
          93   13405.95       288.3000       3.100000    
          94   13695.80       291.4000       3.100000    
          95   13988.75       294.5000       3.100000    
          96   14284.80       297.6000       3.100000    
          97   14583.95       300.7000       3.100000    
          98   14886.20       303.8000       3.100000    
          99   15191.55       306.9000       3.100000    
         100   15500.00       310.0000       3.100000    
         101   15811.55       313.1000       3.100000    
         102   16126.20       316.2000       3.100000    
         103   16443.95       319.3000       3.100000    
         104   16764.80       322.4000       3.100000    
         105   17088.75       325.5000       3.100000    
         106   17415.80       328.6000       3.100000    
         107   17745.95       331.7000       3.100000    
         108   18079.20       334.8000       3.100000    
         109   18415.55       337.9000       3.100000    
         110   18755.00       341.0000       3.100000    
         111   19097.55       344.1000       3.100000    
         112   19443.20       347.2000       3.100000    
         113   19791.95       350.3000       3.100000    
         114   20143.80       353.4000       3.100000    
         115   20498.75       356.5000       3.100000    
         116   20856.80       359.6000       3.100000    
         117   21217.95       362.7000       3.100000    
         118   21582.20       365.8000       3.100000    
         119   21949.55       368.9000       3.100000    
         120   22320.00       372.0000       3.100000    
         121   22693.55       375.1000       3.100000    
         122   23070.20       378.2000       3.100000    
         123   23449.95       381.3000       3.100000    
         124   23832.80       384.4000       3.100000    
         125   24218.75       387.5000       3.100000    
         126   24607.80       390.6000       3.100000    
         127   24999.95       393.7000       3.100000    
         128   25395.20       396.8000       3.100000    
         129   25793.55       399.9000       3.100000    
         130   26195.00       403.0000       3.100000    
         131   26599.55       406.1000       3.100000    
         132   27007.20       409.2000       3.100000    
         133   27417.95       412.3000       3.100000    
         134   27831.80       415.4000       3.100000    
